N,P,K,temperature,humidity,ph,rainfall,label
65,49,41,24.0262,80.8707,6.5352,195.658,rice
69,36,39,23.33,80.1333,5.5477,195.1055,rice
98,56,43,24.5963,82.5723,5.5822,189.4358,rice
86,37,39,24.6013,84.3508,5.6649,234.6509,rice
63,50,35,24.3517,83.7534,6.301,184.4172,rice
93,56,35,22.2584,82.1191,6.9706,236.7785,rice
94,41,39,25.1331,82.3244,5.7208,232.5308,rice
95,47,43,23.4484,80.0823,5.6502,208.9679,rice
61,50,43,26.8575,83.5038,5.8903,194.4067,rice
63,37,45,23.9923,82.021,5.8838,229.9246,rice
79,59,37,26.5994,84.3727,5.9715,221.0399,rice
95,38,41,20.5754,83.5549,6.0919,184.4084,rice
93,38,39,26.2466,82.5053,6.4438,233.0245,rice
79,37,40,21.5402,82.5355,5.7525,217.3183,rice
85,40,38,20.173,83.7449,6.6439,206.6343,rice
61,39,37,22.8253,83.4945,5.7988,230.9315,rice
67,57,45,23.0236,83.6995,5.8281,225.8516,rice
60,47,37,26.709,80.2638,6.7603,189.1925,rice
66,40,42,24.3602,80.9609,5.5,245.1955,rice
64,47,45,23.6495,84.9132,6.8774,244.4959,rice
61,53,41,21.2584,80.5645,6.2701,223.7217,rice
77,43,42,25.4394,83.6332,6.1582,196.33,rice
87,40,35,26.3786,81.5118,6.2033,237.1516,rice
76,36,45,25.0413,81.2095,5.7417,187.4588,rice
68,50,36,22.4549,80.9249,5.8141,213.0571,rice
79,51,43,23.2343,83.4097,5.6467,232.3949,rice
77,47,36,21.971,84.8049,6.1136,228.929,rice
61,44,43,25.6254,82.3452,6.2328,215.8148,rice
61,37,41,23.8789,83.8026,6.4281,239.4415,rice
87,58,44,20.1513,80.1547,6.6715,235.0969,rice
60,51,41,25.9361,81.3912,5.8673,230.9518,rice
78,60,16,26.5638,62.9,6.9447,74.3401,maize
60,50,24,21.9718,60.9842,6.1081,86.0041,maize
95,57,19,18.7746,56.6624,6.3815,62.0842,maize
91,50,23,25.4643,65.2836,6.2052,91.2794,maize
90,41,18,25.3882,58.1014,6.8883,109.0121,maize
91,59,25,18.5475,56.5735,6.6778,65.3534,maize
81,45,20,25.5664,58.7978,6.8504,74.9992,maize
94,59,25,25.3956,63.7463,6.3335,69.6617,maize
87,38,23,19.3647,56.2178,6.9602,102.4475,maize
76,56,21,18.8815,62.1295,6.5561,75.7826,maize
89,46,20,21.3005,64.3252,6.8073,109.7042,maize
62,48,25,23.1122,58.9749,6.109,86.492,maize
70,44,23,26.1812,67.9152,6.766,81.7664,maize
93,35,16,20.106,59.5123,5.837,94.6564,maize
98,38,15,24.4875,64.4349,6.3347,95.6168,maize
74,52,25,19.4925,68.9735,6.3164,76.5443,maize
71,49,24,19.94,69.6164,5.9865,107.3314,maize
76,43,19,23.5594,65.3521,5.5017,61.2161,maize
64,46,16,23.9308,56.3964,6.8819,61.6578,maize
100,51,18,18.8196,58.3904,6.4122,73.845,maize
96,47,25,25.952,63.1355,6.308,107.3481,maize
79,50,20,19.1136,65.0119,5.6227,91.8296,maize
76,50,20,22.7801,55.8425,6.9461,89.4671,maize
63,44,25,19.1612,63.8455,6.9068,81.8229,maize
95,46,15,23.8282,62.6542,6.8752,80.8625,maize
67,43,24,26.732,59.7758,6.0083,94.6916,maize
97,60,18,19.556,56.0004,5.7448,86.0406,maize
67,41,19,18.571,63.84,6.2222,92.2872,maize
98,37,22,26.1372,62.2361,5.5121,87.1702,maize
99,56,15,26.1272,61.3638,6.7,102.6609,maize
73,37,23,19.9208,61.0132,6.183,78.529,maize
69,56,23,25.178,57.193,6.5558,104.4798,maize
98,55,24,25.1356,67.3364,5.613,90.0915,maize
93,48,19,22.541,66.2155,6.2446,75.2537,maize
61,59,19,26.7306,60.8078,6.7107,96.1331,maize
60,60,20,19.176,60.1331,5.967,108.0409,maize
63,37,17,22.6138,59.0229,5.9219,78.9756,maize
98,52,24,21.9099,58.6747,6.3528,106.6707,maize
75,53,22,23.0569,55.7727,5.7791,93.3126,maize
86,37,25,22.6436,57.6782,6.4577,67.7576,maize
76,39,18,19.3466,58.6588,6.6455,78.6877,maize
97,47,18,19.5896,62.1482,5.5269,72.3823,maize
96,59,21,26.8056,64.5573,6.3652,97.1501,maize
66,38,17,24.0442,62.855,6.2215,109.2378,maize
90,49,15,22.6032,59.1759,6.5439,101.0748,maize
63,55,20,25.6956,62.3375,6.4133,69.7692,maize
81,36,18,19.5193,64.9952,5.8876,101.0561,maize
83,45,21,23.2318,65.442,6.651,64.5898,maize
92,49,24,19.0237,56.9123,6.1265,61.5634,maize
99,45,17,25.9263,68.8859,6.4407,98.9068,maize
79,37,21,18.0699,59.4504,5.617,97.4965,maize
88,45,21,25.6508,58.1583,6.3689,96.657,maize
86,57,15,23.41,57.3497,6.7353,63.0988,maize
89,48,19,24.9896,65.2024,5.5872,106.6701,maize
71,47,20,26.5522,56.8078,6.3037,61.3656,maize
75,44,23,18.4828,62.3679,5.8672,105.2378,maize
72,46,25,24.714,67.7971,6.0883,106.3597,maize
77,57,17,23.6136,63.2025,6.1982,69.3074,maize
86,45,25,18.0344,66.6263,6.5045,103.6333,maize
82,57,22,26.889,57.0143,5.6815,74.2775,maize
87,57,25,24.0194,66.6128,6.4248,109.2578,maize
97,36,23,23.6317,61.7969,6.5352,102.5508,maize
99,43,15,22.4741,60.22,6.8658,74.1187,maize
73,36,22,18.2477,68.8574,6.9672,67.551,maize
84,56,18,18.5362,69.0464,6.4087,98.6007,maize
79,42,18,25.5216,62.7512,5.8903,63.1299,maize
100,45,23,20.5367,63.8131,5.9826,67.5912,maize
98,36,16,22.0311,58.0507,6.4498,78.9757,maize
87,37,17,19.2141,60.3197,6.4982,79.2669,maize
99,60,18,22.9497,60.466,6.4632,82.544,maize
87,50,23,23.402,65.2878,6.1458,83.7209,maize
72,53,18,20.4208,59.3698,6.3479,64.1127,maize
82,46,19,18.8003,66.088,6.1989,67.1717,maize
95,38,25,20.2002,67.3446,5.7952,75.8255,maize
71,42,20,25.554,61.8687,6.4934,66.8622,maize
88,40,23,24.6339,55.9804,6.8913,75.1859,maize
76,58,17,26.4746,65.9723,6.3241,71.5572,maize
93,51,23,18.7381,64.8938,5.8144,77.3989,maize
76,48,15,20.7475,63.6775,6.0095,95.3171,maize
95,46,16,18.2076,65.0363,5.7156,101.0343,maize
84,52,19,21.6748,60.4399,5.6922,88.0735,maize
66,48,20,20.6864,65.6882,6.886,76.7826,maize
70,41,22,22.0928,57.3059,6.3875,65.5973,maize
99,54,22,21.9234,60.8016,5.8656,79.8042,maize
80,56,25,26.8258,57.8684,5.7523,75.9809,maize
74,38,25,18.3968,58.1486,6.627,93.6025,maize
92,38,18,20.6124,58.9575,6.2926,82.6083,maize
93,49,25,22.4525,66.4357,6.434,78.1206,maize
85,54,19,26.2933,67.5596,6.3982,104.6642,maize
99,36,23,24.8996,64.8751,6.4923,84.8775,maize
66,50,16,20.7589,59.3767,6.1012,61.9369,maize
86,53,24,20.6476,61.5721,6.5775,98.3161,maize
63,54,17,24.299,64.8705,5.7959,89.753,maize
81,44,17,26.5802,69.407,6.9867,61.349,maize
93,59,21,24.9945,60.5726,5.6659,80.8195,maize
88,45,16,22.1308,68.1851,6.2187,93.4375,maize
69,55,16,19.7477,58.596,6.2321,76.2453,maize
92,54,24,23.7797,68.0408,5.6698,102.1401,maize
70,50,17,26.6126,55.8585,5.5293,107.36,maize
100,45,21,25.0319,63.8626,6.4423,72.2621,maize
57,76,79,19.4341,17.6248,8.4031,55.0551,chickpea
25,68,76,18.608,17.198,8.58,78.3093,chickpea
41,66,84,20.9432,16.7943,6.2975,78.2858,chickpea
21,75,75,17.207,14.4979,6.3898,91.7873,chickpea
52,75,75,17.858,17.7484,6.0586,82.9919,chickpea
21,59,77,20.9901,15.9346,6.2009,63.3306,chickpea
30,73,76,20.7606,15.6817,8.4922,47.274,chickpea
23,66,78,17.2814,18.0197,8.5956,55.1127,chickpea
29,69,82,18.7237,16.4743,6.4431,84.2743,chickpea
52,77,83,17.7664,14.1674,8.5319,94.8732,chickpea
45,72,75,20.8102,16.5049,7.0208,47.8269,chickpea
55,74,80,17.4231,17.3,7.4602,83.7747,chickpea
48,59,81,17.2467,16.4198,6.2398,73.5377,chickpea
45,71,84,20.7668,18.9446,8.2878,92.425,chickpea
20,74,83,20.6683,16.8335,8.5153,71.7295,chickpea
50,71,84,20.6665,18.9664,7.8867,59.0774,chickpea
38,78,75,19.5917,19.5234,5.5114,66.5109,chickpea
22,71,81,18.2666,14.3296,6.3978,60.8385,chickpea
28,76,76,19.0421,18.9678,8.3809,47.8806,chickpea
24,80,85,17.0926,17.0017,8.7371,75.7234,chickpea
55,77,77,18.9123,19.611,8.2024,35.241,chickpea
46,74,84,20.2077,18.6208,8.5259,68.7408,chickpea
26,71,82,17.5439,14.9211,6.0048,52.7471,chickpea
23,69,78,20.4003,16.4349,8.2272,76.8155,chickpea
50,55,76,19.9731,19.4265,7.3022,35.0228,chickpea
38,79,77,18.7952,15.5294,6.649,86.8047,chickpea
37,55,85,18.8196,16.5695,6.334,64.6721,chickpea
39,66,75,18.7662,15.501,8.6245,46.6471,chickpea
34,75,81,17.9492,18.8498,6.3304,82.3098,chickpea
24,68,78,19.6958,17.0335,8.2004,65.5249,chickpea
38,73,84,17.2724,16.2578,7.9686,80.5734,chickpea
42,59,85,18.098,14.3048,5.6215,45.8973,chickpea
36,75,77,18.6668,17.9091,8.9429,38.2887,chickpea
21,62,81,20.5459,18.5677,5.9943,74.5817,chickpea
49,71,84,18.3267,14.1432,8.3923,55.0756,chickpea
56,78,84,18.2151,18.1018,6.8643,69.0724,chickpea
34,67,76,19.5173,15.2504,6.1883,48.6757,chickpea
41,69,81,19.5409,17.5214,6.6977,75.4781,chickpea
36,58,81,18.1765,19.9856,7.2036,63.2069,chickpea
48,73,75,17.4153,15.555,8.2896,73.3788,chickpea
28,70,82,19.7019,19.6457,8.181,39.762,chickpea
26,66,77,19.4835,14.7426,7.5761,68.5659,chickpea
32,65,81,17.8543,17.1071,7.4188,70.3816,chickpea
59,61,80,19.6553,15.3098,6.3001,84.4426,chickpea
35,68,77,20.1129,17.9888,5.5698,74.2941,chickpea
54,60,85,17.0052,18.8231,7.0628,83.9272,chickpea
23,73,85,18.9694,16.3099,6.4168,41.907,chickpea
50,59,84,17.5599,18.2675,6.3194,64.3152,chickpea
45,79,83,18.7296,15.7138,7.1857,69.6722,chickpea
45,65,80,20.9571,14.2062,8.3907,62.9693,chickpea
41,71,83,18.3025,14.7662,6.0616,53.7153,chickpea
47,61,81,18.5523,14.1927,8.295,59.9627,chickpea
38,77,83,20.0226,15.3161,7.7436,92.4065,chickpea
53,70,83,17.5784,17.039,7.7855,36.8244,chickpea
51,62,80,20.0685,14.4415,6.3577,64.3842,chickpea
38,64,81,18.0095,15.4882,6.4269,41.8696,chickpea
30,71,79,18.8577,18.1054,7.1723,56.3111,chickpea
27,56,78,20.9422,15.8213,7.6616,43.1786,chickpea
40,78,82,18.8325,18.3158,8.358,92.7779,chickpea
34,80,80,17.7782,18.0249,6.1919,80.8939,chickpea
50,69,80,18.0383,17.1363,6.9329,45.5436,chickpea
36,72,85,19.477,14.5341,7.1323,86.2963,chickpea
26,61,85,18.1524,19.0242,8.6729,90.6352,chickpea
22,65,75,20.2201,14.6768,6.2408,68.4818,chickpea
30,72,76,17.4089,15.8538,7.3473,39.7876,chickpea
60,63,78,17.5424,14.4321,6.2404,50.8802,chickpea
33,72,80,19.8884,16.9664,6.6658,57.9481,chickpea
36,78,85,17.1843,16.3425,8.1682,40.0505,chickpea
56,60,81,19.8579,19.6522,6.5011,48.1092,chickpea
30,71,76,17.7884,14.0726,8.6987,55.1925,chickpea
25,66,75,17.4456,15.5482,8.6961,52.5399,chickpea
39,75,76,17.4029,19.0767,6.9909,52.0201,chickpea
38,69,82,18.0379,14.5584,7.5917,49.1998,chickpea
40,56,75,18.773,18.411,6.321,61.0514,chickpea
33,58,82,20.6725,14.1805,7.6834,65.7032,chickpea
28,80,83,18.339,15.8143,7.1437,60.0168,chickpea
60,67,84,20.2462,17.8262,6.1043,37.2411,chickpea
38,66,81,19.4879,18.6295,7.3318,62.1711,chickpea
28,64,78,20.8525,19.7357,8.3285,73.1106,chickpea
56,62,82,20.3897,14.3098,8.6675,88.3232,chickpea
48,69,84,17.9072,16.2403,5.9466,62.4899,chickpea
60,65,76,19.7103,17.3606,8.8914,43.9547,chickpea
40,80,80,19.6492,18.439,6.1302,80.6477,chickpea
31,65,80,20.1578,17.9776,6.4609,90.7421,chickpea
55,70,77,19.3464,14.2799,7.9168,67.2647,chickpea
34,79,78,20.5876,16.9276,7.8946,42.3477,chickpea
27,79,75,19.8931,17.6064,8.4894,50.985,chickpea
35,55,75,17.3849,18.8779,8.2401,59.1877,chickpea
24,77,79,19.4943,19.0153,8.6235,86.5002,chickpea
55,58,76,19.8668,16.5491,6.6968,43.6197,chickpea
32,59,85,17.1556,17.8064,8.239,44.8739,chickpea
38,66,77,17.742,18.7013,7.9838,63.8938,chickpea
25,70,78,19.3219,18.8288,6.3952,83.2015,chickpea
33,80,82,20.3737,19.019,7.4563,66.5367,chickpea
25,70,78,20.9263,15.2122,8.8253,41.7118,chickpea
52,56,80,19.8472,19.0775,7.3765,74.9637,chickpea
30,65,78,20.3718,14.7045,6.0639,55.3201,chickpea
26,78,85,18.8638,17.4485,7.1857,88.9117,chickpea
29,75,78,18.2709,14.2892,7.0681,48.2808,chickpea
34,71,77,20.0431,14.875,5.8928,49.8967,chickpea
23,58,20,21.1294,23.8737,5.9742,102.651,kidneybeans
18,60,23,24.5946,21.9187,5.856,113.1381,kidneybeans
10,68,15,23.8241,24.7831,5.9081,79.4163,kidneybeans
9,80,24,16.9121,21.5355,5.9899,131.9054,kidneybeans
34,62,16,21.4338,19.5671,5.5982,143.1992,kidneybeans
28,77,25,21.0239,23.6719,5.6539,63.8704,kidneybeans
28,79,19,15.1084,20.2676,5.7653,69.5536,kidneybeans
33,74,15,19.4829,22.6251,5.855,87.6893,kidneybeans
28,80,16,19.4632,20.0127,5.9159,90.4992,kidneybeans
9,61,22,18.9841,21.068,5.5356,89.9694,kidneybeans
11,75,21,16.0617,24.508,5.8946,68.0674,kidneybeans
38,59,21,15.4663,24.9981,5.8783,89.8716,kidneybeans
5,72,19,17.7571,23.9267,5.6767,133.0092,kidneybeans
39,80,15,23.9267,20.2181,5.511,69.4771,kidneybeans
0,79,21,23.8375,22.8948,5.6423,77.8149,kidneybeans
35,61,24,18.0823,21.9777,5.6765,84.6691,kidneybeans
39,65,19,22.189,20.9049,5.7132,71.949,kidneybeans
25,73,15,15.4443,23.5926,5.7032,65.4684,kidneybeans
24,61,17,15.9796,24.9873,5.6333,76.717,kidneybeans
30,69,21,15.3693,20.3037,5.7615,76.2994,kidneybeans
32,78,25,21.3586,21.5482,5.7227,75.7094,kidneybeans
5,78,17,23.8832,23.4118,5.5781,147.6779,kidneybeans
20,63,21,24.7571,24.2709,5.7273,60.8427,kidneybeans
28,71,25,18.9023,21.4878,5.6835,96.1218,kidneybeans
39,65,19,19.6763,24.4402,5.5026,66.9393,kidneybeans
0,74,18,24.4771,22.9163,5.6028,149.2654,kidneybeans
12,80,19,17.0405,23.2407,5.783,127.4184,kidneybeans
3,56,15,15.067,18.0774,5.7903,149.0352,kidneybeans
14,73,18,24.4918,18.0215,5.8443,123.711,kidneybeans
24,78,23,20.5025,21.6456,5.8315,61.773,kidneybeans
20,65,19,21.6081,21.2098,5.9714,118.4676,kidneybeans
35,80,23,24.8,23.9106,5.8447,111.8824,kidneybeans
27,77,21,24.5764,23.5524,5.9683,107.613,kidneybeans
11,66,25,16.6515,18.6657,5.956,110.3729,kidneybeans
8,61,15,15.9959,23.2054,5.9401,139.7416,kidneybeans
15,77,21,22.768,23.3639,5.7146,128.5912,kidneybeans
38,66,16,18.9952,18.291,5.5211,131.7461,kidneybeans
35,65,16,22.8158,19.2352,5.6677,109.7753,kidneybeans
38,75,25,16.8609,19.6399,5.7186,145.2567,kidneybeans
8,63,20,19.222,23.7897,5.815,142.0595,kidneybeans
26,62,25,21.3322,20.8856,5.7192,104.5722,kidneybeans
39,72,19,19.3986,24.4742,5.8111,124.393,kidneybeans
5,62,18,15.3784,24.2429,5.8608,68.0221,kidneybeans
30,59,15,23.2666,21.7853,5.678,109.7587,kidneybeans
19,64,21,17.7541,23.9718,5.5234,68.8829,kidneybeans
26,73,21,24.7506,21.9315,5.617,145.6569,kidneybeans
10,80,25,21.1785,23.7813,5.5461,76.4164,kidneybeans
14,79,22,21.7235,22.4053,5.6116,74.8131,kidneybeans
0,73,18,22.9832,19.4161,5.5401,138.9781,kidneybeans
15,78,20,22.329,19.6705,5.8045,108.6621,kidneybeans
40,77,21,20.5614,21.1745,5.5868,120.4782,kidneybeans
32,72,24,22.884,24.983,5.5648,146.4509,kidneybeans
3,59,15,17.2806,19.2336,5.5815,97.6434,kidneybeans
28,55,21,16.0472,18.3365,5.7819,97.427,kidneybeans
10,80,21,17.1151,23.6635,5.7618,80.9781,kidneybeans
1,55,17,16.6646,18.6002,5.7255,100.9592,kidneybeans
11,56,19,17.8186,22.7741,5.9148,140.4092,kidneybeans
36,80,20,15.2604,18.6101,5.8475,120.4501,kidneybeans
30,69,24,20.9955,23.8863,5.8677,130.9759,kidneybeans
3,73,16,16.304,21.8419,5.5193,89.8637,kidneybeans
23,67,17,24.8811,24.7118,5.6893,75.0269,kidneybeans
11,62,25,16.485,22.624,5.7862,78.828,kidneybeans
17,71,15,19.6498,23.1177,5.9315,74.0008,kidneybeans
20,55,21,21.4214,24.5504,5.5694,84.0456,kidneybeans
19,64,16,18.7999,20.463,5.7468,60.2587,kidneybeans
6,73,25,18.4503,22.1207,5.5129,113.8271,kidneybeans
17,66,15,18.8032,18.7749,5.9327,100.1055,kidneybeans
4,80,18,18.4969,24.7359,5.6288,79.4081,kidneybeans
16,58,18,21.6077,18.9895,5.9128,103.3008,kidneybeans
33,64,25,19.8591,18.4667,5.6689,100.0311,kidneybeans
33,69,21,23.5182,20.6401,5.797,77.9231,kidneybeans
6,67,21,23.3314,22.5271,5.5054,107.0045,kidneybeans
0,58,18,22.7035,23.5894,5.5394,122.424,kidneybeans
35,64,18,17.6379,24.4741,5.5328,98.4375,kidneybeans
35,58,20,20.046,23.2027,5.5689,106.2363,kidneybeans
14,68,19,18.6863,20.7567,5.5848,147.9074,kidneybeans
24,76,18,22.2471,18.3207,5.6841,102.6115,kidneybeans
33,64,16,21.1591,18.2369,5.6774,136.0828,kidneybeans
3,75,23,21.2031,19.6277,5.9684,91.7727,kidneybeans
35,59,16,22.5716,22.1804,5.5781,139.0274,kidneybeans
10,77,20,18.949,22.0177,5.8772,125.1857,kidneybeans
34,79,25,21.8273,21.4723,5.6299,91.9424,kidneybeans
26,61,16,16.577,20.5196,5.8552,64.0197,kidneybeans
10,75,17,20.8296,21.9306,5.7923,86.5673,kidneybeans
1,64,24,23.7328,23.3321,5.5604,128.9015,kidneybeans
32,64,16,16.0224,24.3588,5.8335,106.1736,kidneybeans
24,66,17,19.9153,18.0731,5.5467,102.1356,kidneybeans
11,69,24,16.8621,19.0826,5.6439,86.2885,kidneybeans
38,63,23,21.4462,22.5426,5.7128,72.617,kidneybeans
35,56,21,23.3765,23.4522,5.7607,89.4458,kidneybeans
29,75,22,24.7346,20.8668,5.8341,118.5081,kidneybeans
6,64,20,23.0907,21.6914,5.5149,105.8889,kidneybeans
24,63,25,18.8426,23.6615,5.7759,92.8796,kidneybeans
27,77,16,19.7949,20.7814,5.9535,90.7465,kidneybeans
39,59,24,19.9629,24.4233,5.7961,143.2633,kidneybeans
17,75,20,15.8838,20.0842,5.9066,139.4249,kidneybeans
24,65,23,15.8246,21.1282,5.7675,77.6509,kidneybeans
39,80,19,19.3207,22.1483,5.9299,112.79,kidneybeans
31,78,18,21.28,23.582,5.7112,136.9108,kidneybeans
14,71,16,15.52,23.4692,5.5819,81.953,kidneybeans
7,57,24,27.8673,62.9568,7.772,189.9461,pigeonpeas
5,58,20,25.4558,72.1509,5.4518,169.8379,pigeonpeas
7,78,21,20.1241,78.8084,6.2545,90.5632,pigeonpeas
6,78,22,35.1654,55.1187,7.1579,170.3704,pigeonpeas
18,78,19,18.4777,62.1017,6.59,137.278,pigeonpeas
38,65,18,29.4864,68.0364,5.1246,194.5954,pigeonpeas
4,67,24,31.7497,66.5565,7.036,125.2659,pigeonpeas
37,68,25,33.6986,50.3553,5.7203,101.0488,pigeonpeas
29,58,22,20.5646,68.3614,5.9101,194.3068,pigeonpeas
22,56,21,30.6611,42.0665,6.6979,186.73,pigeonpeas
12,73,20,36.2424,50.9539,6.5977,161.2479,pigeonpeas
3,65,15,28.4557,37.3861,7.3361,103.3184,pigeonpeas
31,80,18,27.9374,83.131,6.3336,133.9951,pigeonpeas
24,61,22,24.3498,89.2031,7.0305,195.24,pigeonpeas
3,57,18,26.8103,86.6781,5.8548,113.3204,pigeonpeas
21,78,16,28.7926,39.5478,6.6512,146.4038,pigeonpeas
11,78,18,32.2518,62.1187,4.7709,137.7278,pigeonpeas
12,64,18,24.3323,61.8333,5.9685,136.4899,pigeonpeas
16,63,20,18.0215,56.79,5.3733,163.4609,pigeonpeas
0,61,17,25.5895,48.2379,5.0835,145.4567,pigeonpeas
26,80,21,30.8632,43.897,5.9408,118.7467,pigeonpeas
9,80,17,18.7283,68.8098,7.4054,174.859,pigeonpeas
26,66,15,25.428,74.3349,5.6027,122.4541,pigeonpeas
18,67,19,29.726,56.6776,7.4983,170.5052,pigeonpeas
18,59,16,33.1876,31.1207,4.5346,133.4312,pigeonpeas
40,72,20,30.5414,36.5922,6.1644,111.178,pigeonpeas
1,62,21,33.1565,48.64,6.6493,131.6761,pigeonpeas
27,78,23,20.5928,30.4025,7.5284,115.0561,pigeonpeas
23,56,23,29.8709,30.3317,6.4204,108.2038,pigeonpeas
36,79,20,35.6257,59.8492,5.0017,127.63,pigeonpeas
20,78,16,32.3041,57.3597,7.2625,150.9939,pigeonpeas
30,76,16,24.6339,52.079,7.0393,104.5705,pigeonpeas
6,68,18,31.9357,33.1468,7.7997,176.7157,pigeonpeas
17,68,24,29.9925,89.3346,7.6176,199.8944,pigeonpeas
1,59,22,34.3451,89.0331,6.7021,100.8089,pigeonpeas
12,67,16,27.0809,67.4527,5.2352,188.7367,pigeonpeas
26,79,18,35.0213,41.3368,6.1125,192.6172,pigeonpeas
2,55,19,26.1732,53.8243,7.2651,164.2531,pigeonpeas
13,73,22,22.0374,67.7572,6.6238,139.1317,pigeonpeas
18,56,15,26.0683,60.0831,5.7724,101.8466,pigeonpeas
12,62,16,24.3876,81.3112,7.4777,127.8567,pigeonpeas
12,79,23,34.6906,30.9986,5.7562,137.4059,pigeonpeas
0,60,19,30.0405,46.3952,7.7797,96.1514,pigeonpeas
18,77,21,29.2719,50.4394,5.0906,92.767,pigeonpeas
26,65,15,36.8407,45.1494,5.3337,118.3399,pigeonpeas
29,71,22,29.857,70.4076,4.8763,114.2666,pigeonpeas
22,75,19,22.3078,62.4852,5.9212,199.1583,pigeonpeas
11,61,19,24.4418,73.0553,6.3579,181.9405,pigeonpeas
10,56,18,36.5007,65.9707,5.8263,126.8834,pigeonpeas
8,73,19,29.5398,60.5954,5.9861,154.6933,pigeonpeas
33,67,25,35.928,47.009,5.3343,119.3315,pigeonpeas
1,74,17,28.7756,83.2757,6.2092,128.954,pigeonpeas
35,64,20,32.648,70.788,5.1893,187.783,pigeonpeas
22,60,25,33.6544,30.5233,7.0728,151.8207,pigeonpeas
36,66,16,28.9919,77.1117,7.0354,102.6537,pigeonpeas
13,61,22,18.7087,64.8978,6.7177,103.2136,pigeonpeas
13,67,21,27.576,71.361,6.2613,151.4801,pigeonpeas
